,Content,Important
0,"

At the request of Patrice Thurston, please find the attached sample
draft of a master gas agreement.  Please give me a call with any
questions you may have regarding the enclosed.

 

Regards,
Debra Perlingiere
Enron North America Legal
1400 Smith Street, EB 3885
Houston, Texas 77002
dperlin@enron
713-853-7658
713-646-3490 Fax

",0.0
1,"Pursuant to the various discussions over the past few days, attached please 
find the following documents which have been blacklined to show the 
revisions: 
1. EEI Cover Sheet: 

a. I have made most of the changes suggested in Gayle's fax of 11/29 except 
that the definition of Performance Assurance needs to stay as it is given 
that it does not only mean the Escrowed Funds (for instance, in the event of 
Downgrade Event with respect to Enron Corp., EPMI would have to post 
Performance Assurance). We have also not amended the last line of Section 5.5 
since, among other things, the two amendments taken together would mean that 
in the event of a dispute, the Non-Defaulting Party would be limited to 
receiving only what is in the Escrow Fund. First, that would not work if we 
were the Defaulting Party and secondly, we believe that the Non-Defaulting 
Party should receive an amount equal to the Termination Payment. 

Also, with respect to Section 5.5, Tracy Ngo was willing to extend the 
Defaulting Party's response time from two days to five days, but not all the 
way out to ten days.     

b. Pages 1-2 still need to have information filled in by Black Hills.

2. Confirmation: I have incorporated the modifications John suggested 
regarding Black Hills supplying Energy from an alternative source. I have 
also made a few minor typographical changes. In addition, the Confirmation 
contains revised Escrow language which reflects the recent discussions 
between Richard, Tracy and John. 

I will be happy to incorporate the Escrow language in the La Salle Bank 
Escrow Agreement once someone from Black Hills lets me know that the Escrow 
language is acceptable as written. 

Thank you, 

Shari Stack
Enron North America, Legal Department
Tel: (713) 853-9477
",1.0
2,"Get ready.  Beginning in November, electronic pay stubs will be available to all employees who have their paychecks direct deposited into their bank account.  Electronic pay stubs are an easy, fast, and efficient way for you to get your payroll information.  They will also help Enron to realize a considerable savings in time and dollars spent over traditional printed pay stubs.

If you prefer to receive a hardcopy of your pay stub, click on the link below to complete a request form.  This form must be submitted to Payroll by October 15, 2001.  Unless you submit a form your pay stub information will default to electronic viewing.

Please click on the link below.

Name:             ERIC SAIBI
Personnel number: P00502568
Phone:            713-853-5012

If you have questions about electronic pay stubs, please contact Janice Priddy (Payroll) 713-853-7839 or Marie Newhouse (ClickAtHome) at 713-345-4185 or send an email to  Enron.Payroll@enron.com (Enron Payroll in Outlook).

Stay tuned for more details in the coming weeks.

http://etcsurvey.corp.enron.com/wi/p0810709/i.asp?r=14503&s=UAEKXWUJ&l=9",1.0
3,"Brad,

I have contributed $3000 this year to my RRSP through you and $3300 through 
Enron. What is my maximum contribution for 2000 $13500? 

Is 3pm a good time for me to call you? If not, when is?

Chris",0.0
4,"Juan tells me that everything will be moved tomorrow sometime.  We want the 
cabinets to be locked for the move, so I'll lock them up tonight when I 
leave.  If you need to get in the files, grab the keys from my top drawer.  
Make sure to lock things up and replace the keys when you're done.  I'll 
unlock the stuff when it gets settled across the street tomorrow.",1.0
5,"Is you mail being delivered to the incorrect address?  Are your courier 
packages going to the wrong building?  
If so, please let me know and I (as the Master Floor Plan Coordinator)  will 
have the database updated.   

Have a great day :)

Taffy Milligan
Sr. Admin Assistant
EWS-Legal
Tele: 713-345-7373
Fax:  713-646-6058
",0.0
6,"Harry:

Let me know what you think.  Thanks.  SR:-)
",0.0
7,"Hey Alli:
I hadn't heard from you in a while and wanted to see how evergything was 
going.  Are you in David Cox's group and if so, how are things going?  Let me 
know if I can be of any assistance.  Talk to you soon.  
Ben",0.0
8,"Any problem if I add signature lines on the last page of the document (prior 
to the exhibits)?  I can do that.

ckm",0.0
9,"Carol St. Clair
EB 3892
713-853-3989 (Phone)
713-646-3393 (Fax)
----- Forwarded by Carol St Clair/HOU/ECT on 06/13/2000 05:33 PM -----

	""Linda Busk"" <Lbusk@hsresources.com>
	06/13/2000 11:27 AM
		 
		 To: <Cstclai@enron.com>
		 cc: ""Jim Duffy"" <Jduffy@hsresources.com>, ""Jim Kincaid"" 
<Jkincaid@hsresources.com>, ""Marc Peter"" <Mpeter@hsresources.com>, ""Pam 
Smith"" <Pasmith@hsresources.com>, ""Theo Gazulis"" <Theo@hsresources.com>
		 Subject: Assignment


Carol, attached is a form of assignment and the respective Appendix A for the 
proposed transfer of trades from HS Resources, Inc. to HS Energy Services, 
Inc.  Please direct your comments and questions to me.

We hope to have comments on Enron's proposed ISDA with HS Energy Services 
tomorrow.

Jim Piccone
303/296-3600 x 414
Fax: 303/296-9709
jpiccone@hsresources.com

 - HSR-HSESEnron.doc
 - Enron.xls",1.0
